 Source Port, Destination Port, Protocol, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,SimillarHTTP, Inbound, Label
9401,15931,17,1,2,0,2560,0,1280,1280,1280,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,1280,1280,1280,0,0,0,0,0,0,0,0,0,0,0,1920,1280,0,-2,0,0,0,0,0,0,2,2560,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9402,29997,17,0,2,0,816,0,408,408,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,408,408,408,0,0,0,0,0,0,0,0,0,0,0,612,408,0,-2,0,0,0,0,0,0,2,816,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9403,29887,17,1,2,0,810,0,405,405,405,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,405,405,405,0,0,0,0,0,0,0,0,0,0,0,607.5,405,0,-2,0,0,0,0,0,0,2,810,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9404,7393,17,1,2,0,852,0,426,426,426,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,426,426,426,0,0,0,0,0,0,0,0,0,0,0,639,426,0,-2,0,0,0,0,0,0,2,852,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9405,57957,17,1,2,0,1240,0,620,620,620,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,620,620,620,0,0,0,0,0,0,0,0,0,0,0,930,620,0,-2,0,0,0,0,0,0,2,1240,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9406,13925,17,1,2,0,1064,0,532,532,532,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,532,532,532,0,0,0,0,0,0,0,0,0,0,0,798,532,0,-2,0,0,0,0,0,0,2,1064,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9407,64046,17,49,2,0,878,0,439,439,439,0,0,0,0,0,49,0,49,49,49,49,0,49,49,0,0,0,0,0,0,0,0,0,-2,0,40816.32653,0,439,439,439,0,0,0,0,0,0,0,0,0,0,0,658.5,439,0,-2,0,0,0,0,0,0,2,878,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9408,43180,17,1,2,0,1228,0,614,614,614,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,614,614,614,0,0,0,0,0,0,0,0,0,0,0,921,614,0,-2,0,0,0,0,0,0,2,1228,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9409,40273,17,1,2,0,816,0,408,408,408,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,408,408,408,0,0,0,0,0,0,0,0,0,0,0,612,408,0,-2,0,0,0,0,0,0,2,816,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9410,10525,17,1,2,0,1456,0,728,728,728,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,728,728,728,0,0,0,0,0,0,0,0,0,0,0,1092,728,0,-2,0,0,0,0,0,0,2,1456,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9411,57852,17,0,2,0,1076,0,538,538,538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,538,538,538,0,0,0,0,0,0,0,0,0,0,0,807,538,0,-2,0,0,0,0,0,0,2,1076,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
